# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	62556
#@/user_id	3341f95e-2102-4b54-a91e-f7eb6dfaf9d9
ban shi 	辦事	c=2 d=1 t=22874
ban shi er 	辦事兒	c=2 d=1.94649 t=42634
ban shou xu 	辦手續	c=1 d=1 t=25319
ban zhuan 	扳轉	c=1 d=1 t=9271
ban zi 	板子	c=8 d=1 t=61438
ban zi 	班子	c=1 d=1 t=746
ban zou 	搬走	c=1 d=1 t=42487
bang 	幫	c=15 d=1 t=48137
bang 	棒	c=15 d=1.0696 t=57931
bang bang 	幫幫	c=0 d=0.1 t=8441
bang bang 	棒棒	c=1 d=1 t=53301
bang bang mang 	幫幫忙	c=1 d=1 t=50125
bang bu liao 	棒不了	c=1 d=1 t=23275
bang bu shang 	幫不上	c=1 d=1 t=61647
bang ding 	綁定	c=3 d=1.9802 t=57566
bang jia 	綁架	c=1 d=1.08869 t=4798
bang jia zui 	綁架罪	c=1 d=1 t=4775
bang mang 	幫忙	c=8 d=1.77105 t=49629
bang mang de hua 	幫忙的話	c=1 d=1 t=46268
bang ni 	幫你	c=12 d=1 t=61565
bang ta 	幫他	c=1 d=1 t=25903
bang ta 	幫她	c=1 d=1 t=51765
bang wan 	傍晚	c=1 d=1 t=25068
bang wo 	幫我	c=19 d=1.00001 t=50117
bang wo kan kan 	棒我看看	c=1 d=1 t=11812
bang wo men 	棒我們	c=1 d=1 t=26839
bang wo yong 	幫我用	c=1 d=1 t=8793
bao 	保	c=3 d=1.99005 t=61933
bao 	包	c=26 d=1 t=61843
bao 	堡	c=1 d=1 t=17155
bao 	報	c=11 d=1 t=54328
bao 	寶	c=2 d=1 t=29248
bao 	薄	c=2 d=2.04956 t=20069
bao 	豹	c=1 d=1 t=25205
bao 	鮑	c=0 d=0.1 t=60632
bao bao 	寶寶	c=3 d=1.84366 t=51748
bao bei 	報備	c=1 d=1 t=27184
bao biao 	報表	c=1 d=1 t=57641
bao chang 	包場	c=1 d=1 t=27723
bao chao 	爆炒	c=1 d=1 t=20798
bao cun 	保存	c=20 d=1.01078 t=58149
bao cun shi pin 	保存視頻	c=1 d=1 t=4713
bao cun shu ju 	保存數據	c=1 d=1 t=48579
bao cuo 	報錯	c=9 d=0.1 t=58150
bao cuo xin xi 	報錯信息	c=1 d=1 t=18950
bao fa 	爆發	c=1 d=1 t=10156
bao fu 	暴富	c=1 d=1 t=42732
bao gao 	報告	c=1 d=1 t=17204
bao guan 	報關	c=1 d=1 t=49268
bao guan li 	包管理	c=1 d=1 t=665
bao han 	包含	c=6 d=1 t=52370
bao hu 	保護	c=10 d=1.99008 t=60782
bao hu ta 	保護他	c=1 d=1 t=1631
bao jia 	報價	c=1 d=1 t=25035
bao kuai di 	包快遞	c=1 d=1 t=31625
bao kuo 	包括	c=7 d=1.00924 t=34682
bao le 	報了	c=1 d=1 t=62421
bao li 	暴力	c=2 d=1 t=34820
bao lu 	暴露	c=4 d=1 t=59351
bao ma 	寶馬	c=2 d=1 t=50568
bao man 	飽滿	c=1 d=1 t=5316
bao mi 	保密	c=1 d=0.1 t=58367
bao mi de 	保密的	c=1 d=1 t=58368
bao ming 	報名	c=1 d=1 t=60376
bao mu 	保姆	c=1 d=1 t=36310
bao qian 	抱歉	c=6 d=1 t=54618
bao qian le 	抱歉了	c=3 d=1 t=52922
bao shi fu 	鮑師傅	c=3 d=2.80521 t=60655
